schid,SCHLURBN,GRDRANGE,FLAGGK,FLAGG1,FLAGG2,FLAGG3,GKENRMNT,GKCHAPT1,GKFRLNCH,GKBUSED,GKNATVAM,GKASIAN,GKBLACK,GKHSPANC,GKWHITE,GKOTHRAC,G1ENRMNT,G1AVGDAT,G1AVGDMB,G1CHAPT1,G1FRLNCH,G1BUSED,G1NATVAM,G1ASIAN,G1BLACK,G1HSPANC,G1WHITE,G1OTHRAC,G2ENRMNT,G2AVGDAT,G2AVGDMB,G2CHAPT1,G2FRLNCH,G2BUSED,G2NATVAM,G2ASIAN,G2BLACK,G2HSPANC,G2WHITE,G2OTHRAC,G3ENRMNT,G3AVGDAT,G3AVGDMB,G3CHAPT1,G3FRLNCH,G3BUSED,G3NATVAM,G3ASIAN,G3BLACK,G3HSPANC,G3WHITE,G3OTHRAC
164198.0,RURAL,K-6,Yes,Yes,Yes,Yes,396.0,YES,38.0,98.0,,,2.0,,98.0,0.0,389.0,371.0,382.0,NO,41.0,89.0,0.0,0.0,2.0,0.0,98.0,0.0,398.0,387.0,394.0,YES,32.0,93.0,0.0,1.0,1.0,0.0,98.0,0.0,418.0,380.0,416.0,YES,35.0,90.0,0.0,0.0,2.0,0.0,98.0,0.0
165199.0,URBAN,K-6,Yes,Yes,Yes,Yes,419.0,NO,17.0,1.0,,,5.0,,95.0,0.0,447.0,402.0,440.0,NO,22.0,2.0,0.0,1.0,4.0,0.0,92.0,1.0,417.0,406.0,407.0,NO,21.0,2.0,0.0,1.0,4.0,0.0,94.0,1.0,412.0,396.0,411.0,NO,20.0,0.0,0.0,2.0,5.0,0.0,93.0,0.0
166203.0,URBAN,K-5,Yes,Yes,Yes,Yes,344.0,YES,48.0,0.0,,,10.0,,90.0,0.0,356.0,292.0,312.0,YES,62.0,0.0,0.0,0.0,8.0,0.0,91.0,1.0,293.0,284.0,293.0,YES,61.0,0.0,0.0,0.0,8.0,0.0,92.0,0.0,323.0,290.0,300.0,YES,70.0,0.0,0.0,0.0,9.0,0.0,90.0,1.0
168211.0,RURAL,K-5,Yes,Yes,Yes,Yes,618.0,YES,57.0,64.0,,,,,100.0,0.0,652.0,622.0,657.0,YES,58.0,73.0,0.0,0.0,0.0,0.0,99.0,0.0,657.0,652.0,668.0,YES,55.0,74.0,0.0,0.0,0.0,3.0,97.0,0.0,648.0,627.0,644.0,YES,57.0,91.0,0.0,0.0,0.0,1.0,99.0,0.0
168214.0,RURAL,K-8,Yes,Yes,Yes,Yes,591.0,YES,22.0,88.0,,,,,100.0,0.0,589.0,558.0,589.0,YES,31.0,77.0,0.0,0.0,0.0,0.0,99.0,0.0,610.0,596.0,610.0,YES,27.0,90.0,0.0,0.0,0.0,0.0,99.0,0.0,643.0,630.0,642.0,YES,33.0,78.0,0.0,0.0,0.0,0.0,99.0,0.0
169219.0,SUBURBAN,K-6,Yes,Yes,Yes,Yes,501.0,NO,16.0,8.0,,1.0,21.0,,78.0,0.0,546.0,515.0,543.0,YES,16.0,8.0,0.0,1.0,21.0,0.0,78.0,0.0,557.0,537.0,561.0,NO,13.0,13.0,0.0,2.0,16.0,0.0,82.0,0.0,569.0,544.0,514.0,NO,29.0,48.0,0.0,1.0,19.0,1.0,79.0,0.0
169229.0,SUBURBAN,K-4,Yes,Yes,Yes,Yes,1050.0,YES,29.0,30.0,,2.0,34.0,,64.0,0.0,862.0,825.0,865.0,YES,29.0,30.0,0.0,2.0,34.0,0.0,64.0,0.0,1034.0,999.0,999.0,YES,20.0,45.0,0.0,2.0,38.0,0.0,60.0,0.0,947.0,935.0,947.0,NO,34.0,65.0,0.0,1.0,38.0,1.0,60.0,0.0
169231.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,448.0,YES,60.0,10.0,,,47.0,,53.0,0.0,491.0,475.0,506.0,YES,60.0,10.0,0.0,0.0,47.0,0.0,53.0,0.0,493.0,481.0,481.0,YES,67.0,10.0,0.0,0.0,43.0,0.0,57.0,0.0,523.0,501.0,518.0,YES,65.0,8.0,0.0,0.0,46.0,0.0,54.0,0.0
169280.0,SUBURBAN,K-6,Yes,Yes,Yes,Yes,519.0,YES,20.0,22.0,,,26.0,,74.0,0.0,572.0,538.0,568.0,YES,20.0,22.0,0.0,0.0,26.0,0.0,74.0,0.0,605.0,580.0,597.0,NO,33.0,25.0,0.0,0.0,30.0,0.0,70.0,0.0,594.0,573.0,593.0,NO,27.0,21.0,0.0,0.0,29.0,0.0,71.0,0.0
170295.0,RURAL,K-3,Yes,Yes,Yes,Yes,340.0,YES,44.0,85.0,,,,,99.0,0.0,371.0,317.0,337.0,YES,58.0,95.0,0.0,0.0,4.0,0.0,96.0,0.0,330.0,319.0,325.0,YES,46.0,88.0,0.0,0.0,2.0,1.0,97.0,0.0,345.0,321.0,336.0,YES,51.0,82.0,0.0,0.0,4.0,0.0,96.0,0.0
173312.0,RURAL,K-8,Yes,Yes,Yes,Yes,663.0,YES,28.0,39.0,,0.0,13.0,,87.0,0.0,763.0,708.0,760.0,YES,37.0,46.0,0.0,1.0,12.0,1.0,86.0,0.0,785.0,754.0,783.0,YES,41.0,43.0,0.0,1.0,12.0,0.0,86.0,0.0,796.0,745.0,784.0,YES,36.0,45.0,0.0,0.0,12.0,0.0,88.0,0.0
176329.0,RURAL,K-8,Yes,Yes,Yes,Yes,669.0,YES,76.0,65.0,,,,,100.0,0.0,769.0,656.0,697.0,YES,77.0,66.0,0.0,0.0,0.0,0.0,99.0,0.0,686.0,660.0,679.0,YES,60.0,61.0,0.0,0.0,0.0,0.0,99.0,1.0,648.0,609.0,644.0,YES,63.0,54.0,0.0,0.0,0.0,0.0,99.0,1.0
180344.0,URBAN,,Yes,Yes,No,No,632.0,YES,34.0,41.0,,,26.0,,74.0,0.0,535.0,404.0,426.0,YES,48.0,42.0,0.0,0.0,25.0,0.0,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
189378.0,RURAL,K-6,Yes,Yes,Yes,Yes,645.0,YES,30.0,80.0,,,1.0,,99.0,0.0,675.0,635.0,674.0,YES,32.0,82.0,0.0,1.0,1.0,1.0,97.0,0.0,670.0,645.0,664.0,YES,32.0,81.0,0.0,1.0,1.0,0.0,98.0,0.0,665.0,632.0,653.0,YES,28.0,80.0,0.0,0.0,2.0,0.0,98.0,0.0
189382.0,SUBURBAN,K-6,Yes,Yes,Yes,Yes,621.0,NO,10.0,61.0,,,,,100.0,0.0,655.0,621.0,655.0,NO,3.0,62.0,0.0,1.0,0.0,0.0,99.0,0.0,701.0,682.0,695.0,NO,5.0,71.0,0.0,1.0,0.0,0.0,99.0,0.0,681.0,663.0,679.0,NO,3.0,70.0,0.0,1.0,0.0,0.0,99.0,0.0
189396.0,RURAL,K-6,Yes,Yes,Yes,Yes,528.0,YES,39.0,87.0,,,3.0,,97.0,0.0,511.0,474.0,512.0,YES,43.0,86.0,0.0,0.0,6.0,0.0,94.0,0.0,515.0,507.0,515.0,YES,35.0,88.0,0.0,0.0,7.0,0.0,93.0,0.0,505.0,495.0,511.0,YES,39.0,93.0,0.0,0.0,5.0,0.0,95.0,0.0
191411.0,RURAL,K-7,Yes,Yes,Yes,Yes,510.0,YES,94.0,95.0,,,,,100.0,0.0,519.0,491.0,498.0,YES,80.0,99.0,0.0,0.0,0.0,0.0,99.0,0.0,523.0,480.0,518.0,YES,85.0,89.0,0.0,0.0,1.0,0.0,99.0,0.0,564.0,551.0,564.0,YES,85.0,98.0,0.0,0.0,0.0,0.0,99.0,0.0
193422.0,RURAL,K-6,Yes,Yes,Yes,Yes,458.0,YES,36.0,52.0,,,9.0,,90.0,0.0,460.0,436.0,460.0,YES,39.0,65.0,0.0,1.0,9.0,1.0,89.0,0.0,471.0,464.0,475.0,YES,42.0,66.0,0.0,1.0,9.0,1.0,89.0,0.0,476.0,458.0,470.0,YES,39.0,60.0,0.0,1.0,10.0,0.0,89.0,0.0
193423.0,RURAL,K-6,Yes,Yes,Yes,Yes,602.0,YES,43.0,87.0,,,6.0,,94.0,0.0,605.0,572.0,583.0,YES,47.0,74.0,0.0,0.0,5.0,0.0,95.0,0.0,581.0,555.0,572.0,YES,49.0,73.0,0.0,0.0,7.0,0.0,93.0,0.0,583.0,543.0,569.0,YES,50.0,75.0,0.0,0.0,7.0,0.0,93.0,0.0
201449.0,RURAL,K-3,Yes,Yes,Yes,Yes,512.0,YES,32.0,98.0,,,3.0,,97.0,0.0,550.0,495.0,515.0,YES,31.0,74.0,0.0,0.0,3.0,0.0,97.0,0.0,500.0,498.0,500.0,YES,33.0,98.0,0.0,0.0,10.0,0.0,90.0,0.0,490.0,485.0,490.0,YES,35.0,98.0,0.0,0.0,10.0,0.0,90.0,0.0
203452.0,RURAL,K-5,Yes,Yes,Yes,Yes,690.0,YES,35.0,100.0,,,4.0,,95.0,0.0,647.0,617.0,645.0,YES,41.0,99.0,0.0,1.0,4.0,0.0,95.0,0.0,622.0,591.0,615.0,YES,38.0,99.0,0.0,1.0,4.0,0.0,95.0,0.0,603.0,588.0,603.0,YES,31.0,99.0,0.0,0.0,5.0,0.0,95.0,0.0
203457.0,RURAL,K-8,Yes,Yes,Yes,Yes,608.0,YES,44.0,73.0,,,1.0,,99.0,0.0,619.0,578.0,617.0,YES,43.0,99.0,0.0,0.0,1.0,0.0,99.0,0.0,644.0,592.0,621.0,YES,39.0,99.0,0.0,0.0,1.0,0.0,99.0,0.0,615.0,589.0,610.0,YES,40.0,99.0,0.0,0.0,1.0,0.0,99.0,0.0
205488.0,SUBURBAN,K-5,Yes,Yes,Yes,Yes,428.0,NO,25.0,20.0,,,10.0,,90.0,0.0,460.0,425.0,447.0,YES,45.0,15.0,0.0,0.0,12.0,0.0,88.0,0.0,446.0,431.0,441.0,YES,17.0,12.0,0.0,0.0,6.0,0.0,94.0,0.0,450.0,429.0,447.0,YES,19.0,10.0,0.0,0.0,11.0,0.0,89.0,0.0
205489.0,SUBURBAN,K-5,Yes,No,No,No,460.0,NO,15.0,34.0,,,11.0,,87.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205490.0,INNER CITY,K-5,Yes,Yes,Yes,Yes,395.0,YES,98.0,25.0,,,99.0,,1.0,0.0,389.0,388.0,389.0,YES,95.0,25.0,0.0,0.0,99.0,0.0,1.0,0.0,400.0,384.0,395.0,YES,95.0,12.0,0.0,0.0,97.0,0.0,3.0,0.0,413.0,405.0,413.0,YES,98.0,15.0,0.0,0.0,99.0,0.0,1.0,0.0
205491.0,SUBURBAN,K-5,Yes,Yes,Yes,Yes,389.0,NO,9.0,40.0,,1.0,3.0,,97.0,0.0,405.0,375.0,393.0,NO,7.0,50.0,0.0,1.0,2.0,0.0,97.0,0.0,470.0,456.0,464.0,NO,10.0,50.0,0.0,0.0,2.0,0.0,98.0,0.0,470.0,,511.0,NO,8.0,50.0,0.0,0.0,3.0,0.0,97.0,0.0
205492.0,SUBURBAN,K-5,Yes,Yes,Yes,Yes,603.0,YES,90.0,62.0,,,81.0,,19.0,0.0,481.0,452.0,483.0,YES,99.0,50.0,0.0,0.0,83.0,0.0,17.0,0.0,564.0,530.0,566.0,YES,78.0,95.0,0.0,0.0,87.0,0.0,13.0,0.0,536.0,517.0,536.0,YES,95.0,90.0,0.0,0.0,85.0,0.0,14.0,1.0
208501.0,RURAL,K-6,Yes,Yes,Yes,Yes,500.0,NO,23.0,62.0,,,2.0,,98.0,0.0,494.0,462.0,494.0,NO,26.0,75.0,0.0,0.0,2.0,0.0,98.0,0.0,495.0,475.0,487.0,NO,28.0,65.0,0.0,0.0,1.0,0.0,98.0,0.0,521.0,509.0,519.0,NO,28.0,65.0,0.0,1.0,1.0,0.0,98.0,0.0
208503.0,RURAL,K-8,Yes,Yes,Yes,Yes,640.0,YES,32.0,94.0,,0.0,1.0,,99.0,0.0,641.0,605.0,641.0,YES,46.0,91.0,0.0,0.0,1.0,0.0,99.0,0.0,632.0,620.0,633.0,YES,47.0,95.0,0.0,0.0,1.0,0.0,99.0,0.0,626.0,608.0,627.0,YES,39.0,97.0,0.0,0.0,1.0,0.0,99.0,0.0
209510.0,RURAL,K-4,Yes,Yes,Yes,Yes,668.0,YES,35.0,76.0,,,1.0,,99.0,0.0,154.0,134.0,140.0,YES,43.0,89.0,0.0,0.0,2.0,0.0,98.0,0.0,679.0,649.0,678.0,YES,42.0,90.0,0.0,0.0,1.0,0.0,99.0,0.0,675.0,649.0,676.0,YES,60.0,85.0,0.0,0.0,4.0,1.0,95.0,0.0
212522.0,URBAN,K-5,Yes,Yes,Yes,Yes,350.0,YES,42.0,54.0,,,,,100.0,0.0,582.0,544.0,577.0,YES,55.0,65.0,0.0,0.0,1.0,1.0,98.0,0.0,1793.0,555.0,569.0,YES,51.0,73.0,0.0,0.0,1.0,0.0,99.0,0.0,574.0,550.0,573.0,YES,54.0,71.0,0.0,0.0,3.0,0.0,97.0,0.0
215533.0,RURAL,K-4,Yes,Yes,Yes,Yes,628.0,YES,32.0,93.0,,1.0,14.0,,85.0,0.0,663.0,605.0,661.0,YES,39.0,99.0,0.0,1.0,15.0,0.0,84.0,0.0,606.0,588.0,600.0,YES,33.0,99.0,0.0,1.0,15.0,0.0,84.0,0.0,584.0,568.0,582.0,YES,35.0,99.0,0.0,0.0,15.0,0.0,85.0,0.0
216536.0,RURAL,,Yes,No,No,No,106.0,NO,25.0,100.0,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216537.0,RURAL,,No,Yes,Yes,Yes,,,,,,,,,,,584.0,527.0,555.0,YES,27.0,99.0,0.0,0.0,1.0,0.0,99.0,0.0,556.0,520.0,550.0,YES,25.0,99.0,0.0,0.0,0.0,0.0,99.0,0.0,557.0,530.0,553.0,YES,25.0,99.0,0.0,0.0,1.0,0.0,99.0,0.0
218562.0,URBAN,K-6,Yes,Yes,Yes,Yes,531.0,YES,48.0,67.0,,,8.0,,92.0,0.0,540.0,433.0,458.0,YES,44.0,46.0,0.0,0.0,11.0,0.0,89.0,0.0,533.0,526.0,533.0,YES,35.0,68.0,0.0,0.0,11.0,0.0,89.0,0.0,547.0,522.0,546.0,YES,36.0,69.0,0.0,0.0,11.0,0.0,89.0,0.0
221571.0,RURAL,K-6,Yes,Yes,Yes,Yes,763.0,YES,42.0,69.0,,,24.0,,76.0,0.0,770.0,739.0,770.0,YES,45.0,68.0,0.0,0.0,25.0,0.0,75.0,0.0,792.0,758.0,772.0,YES,39.0,68.0,0.0,0.0,25.0,0.0,75.0,0.0,795.0,776.0,790.0,YES,40.0,65.0,0.0,0.0,25.0,0.0,75.0,0.0
221574.0,RURAL,K-6,Yes,Yes,Yes,Yes,506.0,YES,28.0,62.0,,,13.0,,87.0,0.0,510.0,487.0,507.0,YES,26.0,60.0,0.0,0.0,12.0,0.0,88.0,0.0,513.0,488.0,506.0,YES,28.0,60.0,0.0,0.0,12.0,0.0,88.0,0.0,487.0,474.0,483.0,YES,22.0,62.0,0.0,0.0,12.0,0.0,88.0,0.0
225585.0,RURAL,K-6,Yes,Yes,Yes,Yes,637.0,YES,25.0,96.0,,,4.0,,96.0,0.0,668.0,624.0,663.0,YES,30.0,99.0,0.0,0.0,5.0,0.0,95.0,0.0,706.0,683.0,699.0,YES,26.0,99.0,0.0,0.0,4.0,0.0,96.0,0.0,616.0,578.0,607.0,YES,25.0,98.0,0.0,0.0,3.0,0.0,97.0,0.0
228606.0,RURAL,K-6,Yes,Yes,Yes,Yes,556.0,YES,36.0,78.0,,,12.0,,88.0,0.0,567.0,509.0,529.0,YES,26.0,86.0,0.0,0.0,17.0,0.0,83.0,0.0,520.0,510.0,520.0,YES,25.0,91.0,0.0,0.0,19.0,0.0,81.0,0.0,503.0,491.0,503.0,YES,25.0,90.0,0.0,0.0,15.0,0.0,85.0,0.0
230612.0,RURAL,K-8,Yes,Yes,Yes,Yes,389.0,YES,51.0,71.0,,,6.0,,94.0,0.0,400.0,379.0,395.0,YES,53.0,73.0,0.0,0.0,5.0,1.0,94.0,0.0,549.0,533.0,547.0,YES,43.0,87.0,0.0,0.0,3.0,0.0,97.0,0.0,585.0,566.0,580.0,YES,55.0,80.0,0.0,0.0,4.0,1.0,95.0,0.0
231616.0,RURAL,K-6,Yes,Yes,Yes,Yes,434.0,YES,50.0,100.0,,,,,100.0,0.0,476.0,426.0,451.0,YES,51.0,98.0,0.0,0.0,0.0,0.0,99.0,0.0,442.0,429.0,438.0,YES,62.0,99.0,0.0,0.0,0.0,0.0,99.0,0.0,436.0,430.0,436.0,YES,62.0,98.0,0.0,0.0,0.0,0.0,99.0,0.0
234628.0,RURAL,K-8,Yes,Yes,Yes,Yes,1138.0,YES,29.0,81.0,,,3.0,,97.0,0.0,1131.0,968.0,999.0,YES,50.0,82.0,0.0,0.0,3.0,0.0,97.0,0.0,1000.0,947.0,984.0,YES,38.0,78.0,0.0,1.0,2.0,1.0,96.0,0.0,1009.0,919.0,972.0,YES,35.0,70.0,0.0,0.0,3.0,0.0,97.0,0.0
244697.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,850.0,YES,99.0,34.0,,,99.0,,1.0,0.0,822.0,811.0,811.0,YES,90.0,29.0,0.0,0.0,99.0,0.0,1.0,0.0,800.0,750.0,750.0,YES,85.0,20.0,0.0,0.0,99.0,0.0,1.0,0.0,722.0,712.0,712.0,YES,95.0,29.0,0.0,0.0,99.0,0.0,1.0,0.0
244708.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,854.0,YES,97.0,0.0,,,100.0,,,0.0,852.0,810.0,863.0,YES,92.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,832.0,790.0,830.0,YES,95.0,1.0,0.0,0.0,99.0,0.0,0.0,0.0,830.0,790.0,828.0,YES,95.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0
244723.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,749.0,YES,99.0,1.0,,,100.0,,,0.0,727.0,694.0,727.0,YES,95.0,0.0,0.0,0.0,99.0,0.0,1.0,0.0,740.0,725.0,735.0,YES,95.0,5.0,0.0,0.0,99.0,0.0,0.0,0.0,686.0,670.0,686.0,YES,96.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0
244727.0,SUBURBAN,K-6,Yes,Yes,Yes,Yes,772.0,YES,37.0,0.0,,,100.0,,,0.0,817.0,780.0,817.0,YES,25.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,752.0,738.0,754.0,YES,30.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,762.0,732.0,762.0,YES,34.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0
244728.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,521.0,YES,90.0,13.0,,,100.0,,,0.0,553.0,541.0,553.0,YES,88.0,20.0,0.0,0.0,97.0,0.0,3.0,0.0,544.0,528.0,544.0,YES,89.0,20.0,0.0,0.0,98.0,0.0,2.0,0.0,488.0,478.0,488.0,YES,96.0,93.0,0.0,0.0,99.0,0.0,1.0,0.0
244736.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,499.0,YES,97.0,1.0,,,100.0,,,0.0,487.0,437.0,460.0,YES,95.0,2.0,0.0,0.0,99.0,0.0,0.0,0.0,437.0,435.0,435.0,YES,90.0,1.0,0.0,0.0,99.0,0.0,1.0,0.0,420.0,395.0,395.0,YES,95.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0
244745.0,SUBURBAN,K-6,Yes,Yes,Yes,Yes,616.0,NO,44.0,4.0,,,44.0,,56.0,0.0,641.0,606.0,642.0,NO,52.0,7.0,0.0,2.0,45.0,1.0,52.0,0.0,604.0,590.0,604.0,YES,66.0,0.0,0.0,2.0,52.0,0.0,46.0,0.0,663.0,628.0,645.0,NO,59.0,0.0,0.0,2.0,51.0,1.0,46.0,0.0
244746.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,660.0,YES,85.0,0.0,,,100.0,,,0.0,605.0,595.0,603.0,YES,88.0,1.0,0.0,0.0,98.0,0.0,2.0,0.0,615.0,580.0,598.0,YES,86.0,0.0,0.0,0.0,88.0,0.0,12.0,0.0,554.0,514.0,532.0,YES,94.0,0.0,0.0,0.0,99.0,0.0,1.0,0.0
244755.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,888.0,YES,98.0,1.0,,,100.0,,,0.0,903.0,861.0,903.0,YES,81.0,9.0,0.0,0.0,99.0,0.0,0.0,0.0,823.0,782.0,823.0,YES,97.0,7.0,0.0,0.0,99.0,0.0,1.0,0.0,760.0,751.0,832.0,YES,90.0,4.0,0.0,0.0,99.0,0.0,1.0,0.0
244764.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,373.0,YES,92.0,0.0,,,100.0,,,0.0,341.0,334.0,347.0,YES,83.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,356.0,338.0,356.0,YES,92.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,355.0,322.0,343.0,YES,98.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0
244774.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,840.0,YES,95.0,1.0,,,100.0,,,0.0,810.0,770.0,799.0,YES,94.0,2.0,0.0,0.0,99.0,0.0,0.0,0.0,819.0,95.0,745.0,YES,86.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,795.0,779.0,773.0,YES,95.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0
244776.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,785.0,YES,90.0,2.0,,,99.0,,,0.0,759.0,722.0,750.0,YES,83.0,1.0,0.0,2.0,97.0,0.0,1.0,0.0,785.0,765.0,780.0,YES,80.0,1.0,0.0,0.0,99.0,0.0,1.0,0.0,778.0,763.0,775.0,YES,87.0,2.0,0.0,0.0,99.0,0.0,1.0,0.0
244780.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,416.0,YES,95.0,1.0,,,100.0,,,0.0,397.0,371.0,392.0,YES,90.0,5.0,0.0,0.0,99.0,0.0,0.0,0.0,372.0,353.0,367.0,YES,95.0,5.0,0.0,0.0,99.0,0.0,0.0,0.0,355.0,332.0,355.0,YES,86.0,8.0,0.0,0.0,99.0,0.0,0.0,0.0
244796.0,INNER CITY,K-6,Yes,Yes,Yes,Yes,479.0,YES,70.0,17.0,,,99.0,,1.0,0.0,444.0,440.0,458.0,YES,83.0,7.0,0.0,0.0,99.0,0.0,0.0,0.0,436.0,405.0,430.0,YES,85.0,7.0,0.0,0.0,99.0,0.0,1.0,0.0,428.0,418.0,428.0,YES,89.0,13.0,0.0,0.0,98.0,0.0,2.0,0.0
244799.0,SUBURBAN,K-6,Yes,Yes,Yes,Yes,600.0,NO,44.0,2.0,,,98.0,,2.0,0.0,675.0,660.0,669.0,NO,30.0,1.0,0.0,0.0,98.0,0.0,2.0,0.0,678.0,670.0,670.0,YES,34.0,0.0,0.0,0.0,99.0,0.0,1.0,0.0,767.0,648.0,753.0,NO,30.0,0.0,0.0,0.0,99.0,0.0,1.0,0.0
